run_timestamp,league,event_id,date,time,home,away,home_sofa_id,away_sofa_id,home_form_n,away_form_n,home_w5,home_d5,home_l5,away_w5,away_d5,away_l5,home_gf5,home_ga5,home_gd5,away_gf5,away_ga5,away_gd5,home_btts5,away_btts5,home_over25_5,away_over25_5,home_cs5,away_cs5,home_failed_to_score5,away_failed_to_score5,home_streaks,away_streaks,h2h_count,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_labels,source_health,phase3_status,phase3_notes
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:x0ey9SdL,2026-06-06,01:30,Belarus,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upstream_blocked,Phase 2 status was unmatched_market.
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:lIwBomFD,2026-06-06,01:30,Georgia,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:G4u3m9p1,2026-06-06,02:00,Slovakia,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:Cv3iCkuq,2026-06-06,02:30,Moldova,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:fJz9NRBE,2026-06-06,02:30,Russia,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upstream_blocked,Phase 2 status was unmatched_market.
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:rPCLHBHL,2026-06-06,02:30,San Marino,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:bZVLx0FO,2026-06-06,03:15,Hungary,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:jDnBGlak,2026-06-06,03:30,Azerbaijan,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:fNtF7Ai4,2026-06-06,03:30,Benin,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
2026-06-05 19:24:48 ACST,International Friendly Games,flashscore:8xq71Zel,2026-06-06,03:30,Central Africa,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded,team_unresolved,"Could not resolve team IDs (home=miss, away=miss)."
