run_timestamp,league_id,league,event_id,date,time,status,timezone,home,home_team_id,home_logo,home_goals,away,away_team_id,away_logo,away_goals,phase1_status,odds_source,sportsbet_event_id,sportsbet_home_name,sportsbet_away_name,home_odds,draw_odds,away_odds,implied_home,implied_draw,implied_away,overround,fair_home,fair_draw,fair_away,match_method,match_score,source_health,phase2_status,phase2_notes
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760447,2026-06-21,02:30,upcoming,Australia/Adelaide,Netherlands,449,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,,Sweden,466,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,,ready_for_phase_2,Sportsbet,10425352,Netherlands,Sweden,1.73,3.9,5.0,0.578,0.2564,0.2,1.0344,0.5588,0.2479,0.1933,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760448,2026-06-21,05:30,upcoming,Australia/Adelaide,Germany,481,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,,Ivory Coast,4789,https://a.espncdn.com/i/teamlogos/countries/500/civ.png,,ready_for_phase_2,Sportsbet,10425302,Germany,Ivory Coast,1.5,4.6,6.0,0.6667,0.2174,0.1667,1.0508,0.6345,0.2069,0.1586,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760446,2026-06-21,09:30,upcoming,Australia/Adelaide,Ecuador,209,https://a.espncdn.com/i/teamlogos/countries/500/ecu.png,,Curaçao,11678,https://a.espncdn.com/i/teamlogos/soccer/500/11678.png,,ready_for_phase_2,Sportsbet,10425329,Ecuador,Curacao,1.1,11.0,23.0,0.9091,0.0909,0.0435,1.0435,0.8712,0.0871,0.0417,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760449,2026-06-21,13:30,upcoming,Australia/Adelaide,Tunisia,659,https://a.espncdn.com/i/teamlogos/countries/500/tun.png,,Japan,627,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,,ready_for_phase_2,Sportsbet,10425283,Tunisia,Japan,7.0,4.0,1.53,0.1429,0.25,0.6536,1.0465,0.1366,0.2389,0.6246,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760453,2026-06-22,01:30,upcoming,Australia/Adelaide,Spain,164,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,,Saudi Arabia,655,https://a.espncdn.com/i/teamlogos/countries/500/ksa.png,,ready_for_phase_2,Sportsbet,10425351,Spain,Saudi Arabia,1.11,10.0,21.0,0.9009,0.1,0.0476,1.0485,0.8592,0.0954,0.0454,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760451,2026-06-22,04:30,upcoming,Australia/Adelaide,Belgium,459,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,,Iran,469,https://a.espncdn.com/i/teamlogos/countries/500/irn.png,,ready_for_phase_2,Sportsbet,10509289,Belgium,Iran,1.4,4.6,8.0,0.7143,0.2174,0.125,1.0567,0.676,0.2057,0.1183,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760450,2026-06-22,07:30,upcoming,Australia/Adelaide,Uruguay,212,https://a.espncdn.com/i/teamlogos/countries/500/uru.png,,Cape Verde,2597,https://a.espncdn.com/i/teamlogos/countries/500/cpv.png,,ready_for_phase_2,Sportsbet,10425349,Uruguay,Cape Verde,1.47,4.2,8.0,0.6803,0.2381,0.125,1.0434,0.652,0.2282,0.1198,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760452,2026-06-22,10:30,upcoming,Australia/Adelaide,New Zealand,2666,https://a.espncdn.com/i/teamlogos/countries/500/nzl.png,,Egypt,2620,https://a.espncdn.com/i/teamlogos/countries/500/egy.png,,ready_for_phase_2,Sportsbet,10425276,New Zealand,Egypt,5.5,4.0,1.61,0.1818,0.25,0.6211,1.0529,0.1727,0.2374,0.5899,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760456,2026-06-23,02:30,upcoming,Australia/Adelaide,Argentina,202,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,,Austria,474,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,,ready_for_phase_2,Sportsbet,10425282,Argentina,Austria,1.57,4.0,6.0,0.6369,0.25,0.1667,1.0536,0.6045,0.2373,0.1582,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760457,2026-06-23,06:30,upcoming,Australia/Adelaide,France,478,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,,Iraq,4375,https://a.espncdn.com/i/teamlogos/countries/500/irq.png,,ready_for_phase_2,Sportsbet,10509207,France,Iraq,1.1,10.0,26.0,0.9091,0.1,0.0385,1.0476,0.8678,0.0955,0.0368,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760454,2026-06-23,09:30,upcoming,Australia/Adelaide,Norway,464,https://a.espncdn.com/i/teamlogos/countries/500/nor.png,,Senegal,654,https://a.espncdn.com/i/teamlogos/countries/500/sen.png,,ready_for_phase_2,Sportsbet,10425320,Norway,Senegal,2.3,3.4,3.0,0.4348,0.2941,0.3333,1.0622,0.4093,0.2769,0.3138,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760455,2026-06-23,12:30,upcoming,Australia/Adelaide,Jordan,2917,https://a.espncdn.com/i/teamlogos/countries/500/jor.png,,Algeria,624,https://a.espncdn.com/i/teamlogos/countries/500/alg.png,,ready_for_phase_2,Sportsbet,10425306,Jordan,Algeria,6.0,4.0,1.57,0.1667,0.25,0.6369,1.0536,0.1582,0.2373,0.6045,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760461,2026-06-24,02:30,upcoming,Australia/Adelaide,Portugal,482,https://a.espncdn.com/i/teamlogos/countries/500/por.png,,Uzbekistan,2570,https://a.espncdn.com/i/teamlogos/countries/500/uzb.png,,ready_for_phase_2,Sportsbet,10472340,Portugal,Uzbekistan,1.18,7.0,14.0,0.8475,0.1429,0.0714,1.0618,0.7982,0.1346,0.0672,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760458,2026-06-24,05:30,upcoming,Australia/Adelaide,England,448,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,,Ghana,4469,https://a.espncdn.com/i/teamlogos/countries/500/gha.png,,ready_for_phase_2,Sportsbet,10425359,England,Ghana,1.3,5.5,10.0,0.7692,0.1818,0.1,1.051,0.7319,0.173,0.0951,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760460,2026-06-24,08:30,upcoming,Australia/Adelaide,Panama,2659,https://a.espncdn.com/i/teamlogos/countries/500/pan.png,,Croatia,477,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,,ready_for_phase_2,Sportsbet,10425301,Panama,Croatia,6.5,4.2,1.53,0.1538,0.2381,0.6536,1.0455,0.1471,0.2277,0.6252,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760459,2026-06-24,11:30,upcoming,Australia/Adelaide,Colombia,208,https://a.espncdn.com/i/teamlogos/countries/500/col.png,,Congo DR,2850,https://a.espncdn.com/i/teamlogos/countries/500/rdc.png,,ready_for_phase_2,,,,,,,,,,,,,,,none,0.0,healthy,unmatched_market,No Sportsbet event matched this fixture.
