run_timestamp,league,event_id,date,time,home,away,home_p,home_market,home_edge,home_ev,home_kelly,home_stake,home_decision,draw_p,draw_market,draw_edge,draw_ev,draw_kelly,draw_stake,draw_decision,away_p,away_market,away_edge,away_ev,away_kelly,away_stake,away_decision,top_side,top_decision,top_market_odds,top_p,top_edge,top_stake,risk_scale_factor,phase5_status,phase5_notes
2026-05-21 01:56:45 ACST,Eliteserien,flashscore:v3i3qEfD,2026-05-21,01:30,Start,Bodo/Glimt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,upstream_blocked,Phase 4 status was upstream_blocked.
2026-05-21 01:56:45 ACST,Allsvenskan,flashscore:rJKJ2MZP,2026-05-21,02:30,GAIS,Hammarby,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,upstream_blocked,Phase 4 status was upstream_blocked.
2026-05-21 01:56:45 ACST,Eliteserien,flashscore:YobepuNG,2026-05-21,02:30,Lilleström,Kristiansund,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,upstream_blocked,Phase 4 status was upstream_blocked.
2026-05-21 01:56:45 ACST,Eliteserien,flashscore:0A1Nl9Wh,2026-05-21,03:30,Aalesund,Brann,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,upstream_blocked,Phase 4 status was upstream_blocked.
